,Symbol,Description,Sector,MarketCap,Beta,PERatio,EPS,EVToRevenue,ROE,ProfitMargin,PriceToBook,AverageStockPrice
21,GOOGL,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",TECHNOLOGY,1969040000000.0,1.068,27.31,103.81,7.75,0.309,0.295,8.03,1917.23
22,GOOG,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",TECHNOLOGY,1969040000000.0,1.068,27.51,103.81,7.75,0.309,0.295,8.07,1931.4
23,MO,"Altria Group, Inc. (previously known as Philip Morris Companies, Inc.) is an American corporation and one of the world's largest producers and marketers of tobacco, cigarettes and related products. It operates worldwide and is headquartered in unincorporated Henrico County, Virginia, just outside the city of Richmond.",MANUFACTURING,82829826000.0,0.684,32.3,1.494,5.12,297.86,0.132,27.3,44.18
24,AMZN,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as one of the most influential economic and cultural forces in the world, as well as the world's most valuable brand.",TRADE & SERVICES,1746740000000.0,1.126,66.54,51.1,3.89,0.258,0.0574,14.49,2967.05
25,AMCR,"Amcor plc is an Australian-American, UK-domiciled packaging company. It develops and produces flexible packaging, rigid containers, specialty cartons, closures and services for food, beverage, pharmaceutical, medical-device, home and personal-care, and other products.",MANUFACTURING,17784759000.0,0.426,19.42,0.607,1.835,0.20199999999999999,0.0715,3.825,11.0
26,AEE,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",ENERGY & TRANSPORTATION,22473564000.0,0.336,22.52,3.8369999999999997,5.75,0.107,0.166,2.321,79.51
27,AAL,"American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth, Texas.",ENERGY & TRANSPORTATION,11661737000.0,1.667,None,-5.18,1.788,0.0,-0.132,-,17.99
28,AEP,"American Electric Power (AEP) is a major investor-owned electric utility in the United States, delivering electricity to more than five million customers in 11 states.",ENERGY & TRANSPORTATION,41691757000.0,0.345,18.17,4.762,4.774,0.111,0.146,1.871,85.62
29,AXP,The American Express Company is a multinational financial services corporation headquartered at 200 Vesey Street in the Battery Park City neighborhood of Lower Manhattan in New York City.,FINANCE,129374000000.0,1.239,16.71,9.57,-,0.336,0.18899999999999997,5.3,128.64
30,AIG,"American International Group, Inc., also known as AIG, is an American multinational finance and insurance corporation with operations in more than 80 countries and jurisdictions. The company operates through three core businesses: General Insurance, Life & Retirement, and a standalone technology-enabled subsidiary.",FINANCE,45159887000.0,1.379,8.49,6.38,1.56,0.0891,0.11800000000000001,0.702,41.54
31,AMT,"American Tower Corporation (also referred to as American Tower or ATC) is an American real estate investment trust and an owner and operator of wireless and broadcast communications infrastructure in several countries worldwide and is headquartered in Boston, Massachusetts.",REAL ESTATE & CONSTRUCTION,124132000000.0,0.345,50.64,5.51,18.04,0.345,0.275,22.94,248.72
32,AWK,American Water is an American public utility company operating in the United States and Canada.,ENERGY & TRANSPORTATION,31976059000.0,0.282,43.62,4.198,11.04,0.114,0.196,4.657,148.82
33,AMP,"Ameriprise Financial, Inc. is a diversified financial services company and bank holding company incorporated in Delaware and headquartered in Minneapolis, Minnesota. It provides financial planning products and services, including wealth management, asset management, insurance, annuities, and estate planning.",FINANCE,33321906000.0,1.61,16.02,18.4,2.373,0.38,0.174,5.84,198.62
34,ABC,AmerisourceBergen Corporation is an American drug wholesale company that was formed by the merger of Bergen Brunswig and AmeriSource in 2001.,TRADE & SERVICES,25627461000.0,0.479,16.94,7.39,0.139,-99999.99,0.0072,114.74,104.83
35,AME,"AMETEK, Inc. is an American global manufacturer of electronic instruments and electromechanical devices with a headquarters in the United States and over 220 manufacturing sites worldwide.",LIFE SCIENCES,33021667000.0,1.306,35.05,3.99,6.77,0.152,0.177,5.04,111.87
36,AMGN,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. Focused on molecular biology and biochemistry, its goal is to provide a healthcare business based on recombinant DNA technology.",LIFE SCIENCES,118787000000.0,0.615,22.94,9.7,5.57,0.585,0.218,14.46,232.52
37,APH,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp.",MANUFACTURING,50395801000.0,1.238,34.66,2.38,5.29,0.267,0.14400000000000002,8.48,60.32
38,ADI,"Analog Devices, Inc. (ADI), also known simply as Analog, is an American multinational semiconductor company specializing in data conversion, signal processing and power management technology, headquartered in Wilmington, Massachusetts.",MANUFACTURING,96361405000.0,1.125,49.16,3.46,13.83,0.0556,0.19,2.536,138.53
39,ANSS,"Ansys, Inc. is an American company based in Canonsburg, Pennsylvania. It develops and markets multiphysics engineering simulation software for product design, testing and operation and offers its products and services to customers worldwide.",TECHNOLOGY,34765938000.0,1.242,74.63,5.32,18.42,0.11800000000000001,0.249,8.01,322.32
40,ANTM,"Anthem, Inc., is a provider of health insurance in the United States. It is the largest for-profit managed health care company in the Blue Cross Blue Shield Association.",FINANCE,104610000000.0,1.045,20.15,22.23,0.91,0.158,0.0412,2.927,321.29
41,AON,"Aon plc is a multinational professional services firm that sells a range of financial risk-mitigation products, including insurance, pension administration, and health-insurance plans.",FINANCE,64720441000.0,0.892,72.86,4.013,6.07,0.327,0.0758,29.3,224.46
42,AOS,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,MANUFACTURING,13310727000.0,1.126,28,2.89,3.779,0.257,0.138,7.02,56.89
43,APA,"APA Corporation is the holding company for Apache Corporation, a company engaged in hydrocarbon exploration. It is organized in Delaware and headquartered in Houston.",ENERGY & TRANSPORTATION,9688524000.0,4.755,15.59,1.564,2.434,1.137,0.0859,2.821,17.56
44,AAPL,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",TECHNOLOGY,2944130000000.0,1.203,30.51,5.61,8.22,1.474,0.259,46.67,114.31
45,AMAT,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",MANUFACTURING,137904000000.0,1.38,22.84,6.4,5.98,0.516,0.255,11.26,92.85
46,APTV,"Aptiv plc is an auto parts company headquartered in Dublin, Ireland.",MANUFACTURING,45708774000.0,2.09,53.87,2.9410000000000003,3.018,0.11,0.0547,5.51,116.71
47,ADM,"The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide.",MANUFACTURING,35496548000.0,0.882,14.1,4.63,0.554,0.126,0.0326,1.616,50.98
48,ANET,"Arista Networks (formerly Arastra) is an American computer networking company headquartered in Santa Clara, California. The company designs and sells multilayer network switches to deliver software-defined networking (SDN) solutions for large datacenter, cloud computing, high-performance computing, and high-frequency trading environments.",TECHNOLOGY,40158891000.0,1.168,52.84,2.463,13.29,0.226,0.28300000000000003,10.39,70.59
49,AJG,"Arthur J. Gallagher & Co. (AJG) is an American global insurance brokerage and risk management services firm headquartered in Rolling Meadows, Illinois.",FINANCE,35154349000.0,0.69,35.57,4.622,4.811,0.138,0.122,4.175,118.38
50,AIZ,"Assurant, Inc. is a global provider of risk management products and services with headquarters in New York City.",FINANCE,8831390000.0,0.645,6.65,22.64,0.857,0.0904,0.132,1.537,134.12
51,T,"AT&T Inc. is an American multinational conglomerate holding company, Delaware-registered but headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world largest telecommunications company, and the second largest provider of mobile telephone services.",TECHNOLOGY,163100000000.0,0.667,184.34,0.129,1.981,0.0137,0.0067,0.996,30.02
52,ATO,"Atmos Energy Corporation, headquartered in Dallas, Texas, is one of the United States' largest natural-gas-only distributors.",ENERGY & TRANSPORTATION,12678448000.0,0.463,19.3,5.12,5.91,0.0906,0.195,1.603,99.0
53,ADSK,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",TECHNOLOGY,59172849000.0,1.401,46.84,5.93,14.34,1.956,0.313,46.23,254.58
54,ADP,"Automatic Data Processing, Inc. (ADP) is an American provider of human resources management software and services.",TECHNOLOGY,99754244000.0,0.757,36.3,6.32,6.61,0.483,0.175,18.64,172.7
55,AZO,"AutoZone, Inc. is an American retailer of aftermarket automotive parts and accessories, the largest in the United States.",TRADE & SERVICES,41410435000.0,0.851,19.46,102.57,2.844,-99999.99,0.151,-,1286.48
56,AVB,"AvalonBay Communities, Inc. is a publicly traded real estate investment trust that invests in apartments.",REAL ESTATE & CONSTRUCTION,34218360000.0,0.951,33.8,7.24,18.6,0.0941,0.444,3.172,185.88
57,AVY,"Avery Dennison Corporation is a multinational manufacturer and distributor of pressure-sensitive adhesive materials (such as self-adhesive labels), apparel branding labels and tags, RFID inlays, and specialty medical products. The company is headquartered in Glendale, California.",MANUFACTURING,17604825000.0,1.005,23.23,8.91,2.507,0.478,0.0912,9.78,159.88
58,BKR,"Baker Hughes Company is an American international industrial service company and one of the world's largest oil field services companies. The company provides the oil and gas industry with products and services for oil drilling, formation evaluation, completion, production and reservoir consulting. Baker Hughes is headquartered in Houston.",TECHNOLOGY,22131987000.0,1.623,131.56,0.18,1.217,0.0166,0.0068,1.565,19.73
59,BLL,"Ball Corporation is an American company headquartered in Westminster, Colorado. It is best known for its early production of glass jars, lids, and related products used for home canning.",MANUFACTURING,30284106000.0,0.476,38.22,2.428,2.822,0.24100000000000002,0.061,8.18,81.94
60,BAC,"The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered in Charlotte, North Carolina. Founded in San Francisco, Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. It is the second largest banking institution in the United States, after JPMorgan Chase, and the eighth largest bank in the world. Bank of America is one of the Big Four banking institutions of the United States. It services approximately 10 percent of all American bank deposits, in direct competition with JPMorgan Chase, Citigroup and Wells Fargo. Its primary financial services revolve around commercial banking, wealth management, and investment banking.",FINANCE,364355000000.0,1.509,13.14,3.34,-,0.11199999999999999,0.33399999999999996,1.463,32.72
61,BBWI,None,TRADE & SERVICES,19708072000.0,1.731,12.17,5.74,1.868,0.0,0.12300000000000001,-,67.22
62,BAX,"Baxter International Inc. is an American multinational health care company with headquarters in Deerfield, Illinois. The company primarily focuses on products to treat hemophilia, kidney disease, immune disorders and other chronic and acute medical conditions. ",LIFE SCIENCES,40486072000.0,0.612,35.2,2.376,3.507,0.141,0.0975,4.616,82.51
63,BDX,"Becton, Dickinson and Company, also known as BD, is an American multinational medical technology company that manufactures and sells medical devices, instrument systems, and reagents. BD also provides consulting and analytics services in certain geographies.",LIFE SCIENCES,69577257000.0,0.714,37.5,6.85,4.193,0.0882,0.10300000000000001,2.939,248.37
64,BBY,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota.",TRADE & SERVICES,24975032000.0,1.587,9.67,10.34,0.487,0.632,0.0505,5.84,102.7
65,BIO,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",LIFE SCIENCES,22341385000.0,0.874,3.318,220.48,7.12,0.551,2.235,1.456,560.4
66,TECH,"Bio-Techne Corporation develops, manufactures, and sells life science reagents, instruments, and services for the global clinical diagnostic and research markets. The company is headquartered in Minneapolis, Minnesota.",LIFE SCIENCES,18313176000.0,1.135,108.5,4.337,18.75,0.114,0.179,11.17,334.76
67,BIIB,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",LIFE SCIENCES,34170183000.0,0.416,23.24,10.22,3.498,0.195,0.139,3.276,290.49
68,BLK,"BlackRock, Inc. is an American multinational investment management corporation based in New York City.",FINANCE,140548000000.0,1.202,24.29,37.61,7.55,0.17,0.31,3.817,686.46
69,BK,"The Bank of New York Mellon Corporation, commonly known as BNY Mellon, is a multinational American investment banking services holding company headquartered in New York City.",FINANCE,46848829000.0,1.149,14.65,3.925,-,0.0818,0.22899999999999998,1.199,44.01
70,BA,"The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide. The company also provides leasing and product support services.",MANUFACTURING,120514000000.0,1.526,None,-14.51,2.595,-99999.99,-0.135,-,213.32
71,BKNG,"Booking Holdings Inc. is an American travel technology company organized in Delaware and based in Norwalk, Connecticut, that owns and operates several travel fare aggregators and travel fare metasearch engines including namesake and flagship Booking.com, Priceline.com, Agoda.com, Kayak.com, Cheapflights, Rentalcars.com, Momondo, and OpenTable.",ENERGY & TRANSPORTATION,91832735000.0,1.221,238.97,9.25,9.87,0.0731,0.0415,16.56,2003.22
72,BWA,"BorgWarner Inc. is an American multinational automotive supplier headquartered in Auburn Hills, Michigan.",MANUFACTURING,11046263000.0,1.472,13.78,3.208,0.932,0.146,0.0507,1.662,40.51
73,BXP,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C.",REAL ESTATE & CONSTRUCTION,17823212000.0,1.185,55.87,2.044,10.86,0.0524,0.11900000000000001,3.118,104.35
74,BSX,"Boston Scientific Corporation, doing business as Boston Scientific, is a manufacturer of medical devices used in interventional medical specialties, including interventional radiology, interventional cardiology, peripheral interventions, neuromodulation, neurovascular intervention, electrophysiology, cardiac surgery, vascular surgery, endoscopy, oncology, urology and gynecology.",LIFE SCIENCES,58666940000.0,0.868,53.13,0.769,5.77,0.0722,0.10099999999999999,3.564,39.51
75,BMY,"Bristol Myers Squibb (BMS) is an American multinational pharmaceutical company, headquartered in New York City. Bristol Myers Squibb manufactures prescription pharmaceuticals and biologics in several therapeutic areas, including cancer, AIDS, cardiovascular disease, diabetes, hepatitis, rheumatoid arthritis and psychiatric disorders.",LIFE SCIENCES,125099000000.0,0.586,None,-2.42,3.412,-0.12300000000000001,-0.11900000000000001,3.362,62.01
76,AVGO,"Broadcom Inc. is an American designer, developer, manufacturer and global supplier of a wide range of semiconductor and infrastructure software products. Broadcom's product offerings serve the data center, networking, software, broadband, wireless, and storage and industrial markets.",MANUFACTURING,260010000000.0,0.955,47.06,13.49,10.54,0.253,0.22899999999999998,10.68,394.81
77,BR,"Broadridge Financial Solutions is a public corporate services company founded in 2007 as a spin-off from Automatic Data Processing. The main business of Broadridge is as a service provider supplying public companies with proxy statements, annual reports and other financial documents, and shareholder communications solutions, such as virtual annual meetings.",TRADE & SERVICES,20792864000.0,0.882,37.76,4.655,4.825,0.34700000000000003,0.106,11.86,143.26
78,BRO,"Brown & Brown, Inc. markets and sells insurance products and services in the United States, Bermuda, Canada, the Cayman Islands, Ireland, and the United Kingdom. The company is headquartered in Daytona Beach, Florida.",FINANCE,18981908000.0,0.716,32.15,2.049,6.86,0.149,0.19699999999999998,4.621,47.48
79,CHRW,"C.H. Robinson is an American Fortune 500 provider of multimodal transportation services and third-party logistics (3PL). The company offers freight transportation, transportation management, brokerage and warehousing. It offers truckload, less than truckload, air freight, intermodal, and ocean transportation.",ENERGY & TRANSPORTATION,13609687000.0,0.734,17.95,5.65,0.73,0.39899999999999997,0.036000000000000004,6.98,88.59
80,CDNS,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",TECHNOLOGY,51032744000.0,1.075,72.24,2.48,16.93,0.276,0.233,19.39,116.9
81,CZR,"Caesars Entertainment, Inc., formerly Eldorado Resorts, Inc., is an American hotel and casino entertainment company founded and based in Reno, Nevada, that operates more than 50 properties.",REAL ESTATE & CONSTRUCTION,19021615000.0,2.938,None,-5.42,5.34,-0.266,-0.136,3.89,61.06
82,CPB,"Campbell Soup Company, doing business as Campbell's, is an American processed food and snack company.",MANUFACTURING,13019989000.0,0.498,13.82,3.1210000000000004,2.15,0.32,0.114,4.025,47.33
83,COF,"Capital One Financial Corporation is an American bank holding company specializing in credit cards, auto loans, banking, and savings accounts, headquartered in McLean, Virginia with operations primarily in the United States.",FINANCE,64017814000.0,1.662,5.39,26.74,-,0.20600000000000002,0.395,1.008,108.95
84,CAH,"Cardinal Health, Inc. is an American multinational health care services company.",TRADE & SERVICES,13663900000.0,0.977,12.82,3.8739999999999997,0.101,0.8059999999999999,0.0068,9.81,53.13
85,KMX,CarMax is a used vehicle retailer based in the United States. It operates two business segments: CarMax Sales Operations and CarMax Auto Finance.,TRADE & SERVICES,24232684000.0,1.492,19.54,7.04,1.61,0.262,0.0428,4.93,107.39
86,CCL,"Carnival Corporation & plc is a British-American cruise operator, currently the world's largest travel leisure company, with a combined fleet of over 100 vessels across 10 cruise line brands.",ENERGY & TRANSPORTATION,22475904000.0,2.167,None,-8.51,72.36,-0.53,0.0,1.512,23.1
87,CARR,"Carrier Global Corporation is an American multinational home appliances corporation based in Palm Beach Gardens, Florida.",TECHNOLOGY,48104130000.0,None,20.96,2.4930000000000003,2.772,0.35600000000000004,0.111,6.97,38.31
88,CTLT,"Catalent, Inc. (Catalent Pharma Solutions) is a multinational corporation headquartered in Somerset, New Jersey. It is a global provider of delivery technologies, development, drug manufacturing, biologics, gene therapies and consumer health products.",LIFE SCIENCES,20939721000.0,1.339,39.97,3.177,5.65,0.14800000000000002,0.14300000000000002,5.21,94.77
89,CAT,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",TECHNOLOGY,110060000000.0,0.899,21.54,9.35,2.838,0.325,0.106,6.6,173.51
90,CBOE,Cboe Global Markets is an American company that owns the Chicago Board Options Exchange and the stock exchange operator BATS Global Markets.,FINANCE,14082205000.0,0.637,30.65,4.184,4.347,0.132,0.13,4.027,104.69
91,CBRE,"CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the largest commercial real estate services company in the world.",REAL ESTATE & CONSTRUCTION,34704850000.0,1.405,23.72,4.29,1.395,0.195,0.0559,4.359,66.98
92,CDW,"CDW Corporation, headquartered in Lincolnshire, Illinois, is a provider of technology products and services for business, government and education.",TRADE & SERVICES,26448346000.0,1.088,26.71,7.12,1.517,0.975,0.05,31.6,144.33
93,CE,"Celanese Corporation is a Fortune 500 global technology and specialty materials company headquartered in Irving, Texas, United States.",LIFE SCIENCES,17519497000.0,1.258,6.42,24.79,2.574,0.794,0.359,4.47,125.54
94,CNC,"Centene Corporation is a large publicly traded company and a multi-line managed care enterprise that serves as a major intermediary for both government-sponsored and privately insured health care programs. It is a healthcare insurer that focuses on managed care for uninsured, underinsured, and low-income individuals.",FINANCE,45775805000.0,0.506,66.47,1.249,0.44,0.0276,0.0064,1.73,64.48
95,CNP,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas.",ENERGY & TRANSPORTATION,17526488000.0,0.964,17.15,1.5730000000000002,4.173,-0.0357,0.128,2.171,22.32
96,CDAY,"Ceridian HCM Holding Inc., is a Human Capital Management (HCM) software company in the United States, Canada, and internationally. The company is headquartered in Minneapolis, Minnesota.",TECHNOLOGY,15717267000.0,1.391,None,-0.561,17.12,-0.0391,-0.0862,7.07,87.07
97,CERN,"Cerner Corporation is an American supplier of health information technology (HIT) services, devices, and hardware. Its headquarters are in the suburb of North Kansas City, Missouri.",TECHNOLOGY,21881347000.0,0.771,52.81,1.7,4.018,0.127,0.0915,5.7,73.44
98,CF,"CF Industries Holdings, Inc. is a North American manufacturer and distributor of agricultural fertilizers, based in Deerfield, Illinois.",LIFE SCIENCES,13119463000.0,1.022,46.96,1.38,3.156,0.0938,0.0586,4.465,40.93
99,CRL,"Charles River Laboratories International, Inc., is an American pharmaceutical company specializing in a variety of preclinical and clinical laboratory, gene therapy and cell therapy services for the Pharmaceutical, Medical device and Biotechnology industries. It also supplies assorted biomedical products and outsourcing services for research and development in the pharmaceutical industry and offer support in the fields of basic research, drug discovery, safety and efficacy, clinical support, and manufacturing.",TRADE & SERVICES,18211592000.0,1.184,47.01,7.72,6.18,0.184,0.11599999999999999,7.51,264.48
100,SCHW,"The Charles Schwab Corporation is an American multinational financial services company. It offers banking, commercial banking, an electronic trading platform, and wealth management advisory services to both retail and institutional clients.",FINANCE,152779000000.0,1.032,31.58,2.627,-,0.122,0.301,3.217,53.57
